Date,Scarlet & Violet Base Set,Paldea Evolved,Obsidian Flames,151,Paradox Rift,Paldean Fates,Temporal Forces,Twilight Masquerade,Stellar Crown,Surging Sparks
2024-12-13,1.24,1.94,1.23,5.35,1.57,2.59,1.63,1.73,1.67,2.61
2024-12-14,1.22,1.94,1.24,5.31,1.54,2.59,1.64,1.72,1.67,2.57
2024-12-15,1.22,1.94,1.3,5.44,1.54,2.59,1.64,1.72,1.68,2.59
2024-12-16,1.19,1.94,1.34,5.4,1.55,2.58,1.64,1.71,1.68,2.55
2024-12-17,1.2,1.93,1.38,5.39,1.56,2.59,1.67,1.72,1.67,2.5
2024-12-18,1.2,1.94,1.37,5.31,1.57,2.58,1.67,1.77,1.67,2.53
2024-12-19,1.2,1.94,1.34,5.27,1.55,2.58,1.67,1.76,1.66,2.52
2024-12-20,1.22,1.95,1.29,5.23,1.54,2.58,1.67,1.79,1.62,2.48
2024-12-21,1.22,1.95,1.29,5.26,1.51,2.58,1.66,1.74,1.6,2.43
2024-12-22,1.25,1.97,1.27,5.3,1.52,2.54,1.65,1.74,1.6,2.42
2024-12-23,1.24,1.96,1.28,5.23,1.52,2.55,1.65,1.69,1.56,2.42
2024-12-24,1.24,1.97,1.27,5.24,1.51,2.6,1.66,1.72,1.54,2.43
2024-12-25,1.27,1.98,1.29,5.27,1.52,2.58,1.66,1.74,1.58,2.49
2024-12-26,1.27,1.98,1.3,5.36,1.52,2.6,1.65,1.76,1.61,2.51
2024-12-27,1.29,1.98,1.32,5.37,1.52,2.58,1.66,1.79,1.66,2.49
2024-12-28,1.28,2.0,1.34,5.34,1.52,2.59,1.65,1.79,1.62,2.47
2024-12-29,1.28,2.01,1.34,5.32,1.53,2.6,1.68,1.78,1.67,2.5
2024-12-30,1.3,2.02,1.34,5.43,1.53,2.65,1.69,1.76,1.66,2.49
2024-12-31,1.3,2.03,1.38,5.44,1.54,2.63,1.72,1.78,1.6,2.51
2025-01-01,1.32,2.02,1.41,5.41,1.54,2.64,1.74,1.81,1.6,2.57
2025-01-02,1.35,2.02,1.41,5.39,1.56,2.63,1.69,1.79,1.63,2.56
2025-01-03,1.36,2.02,1.42,5.34,1.57,2.62,1.7,1.79,1.62,2.56
2025-01-04,1.41,2.03,1.4,5.48,1.58,2.67,1.71,1.85,1.6,2.64
2025-01-05,1.4,2.04,1.41,5.58,1.57,2.72,1.73,1.88,1.64,2.7
2025-01-06,1.44,2.04,1.44,5.64,1.58,2.75,1.75,1.88,1.66,2.63
2025-01-07,1.49,2.12,1.48,5.68,1.59,2.76,1.79,1.89,1.66,2.59
2025-01-08,1.55,2.14,1.58,5.66,1.6,2.77,1.8,1.93,1.69,2.63
2025-01-09,1.54,2.16,1.61,5.6,1.6,2.76,1.78,1.95,1.66,2.6
2025-01-10,1.52,2.16,1.57,5.64,1.61,2.77,1.77,1.95,1.68,2.68
2025-01-11,1.54,2.17,1.53,5.65,1.62,2.78,1.78,2.0,1.76,2.71
2025-01-12,1.53,2.16,1.52,5.69,1.6,2.78,1.78,2.01,1.79,2.64
2025-01-13,1.5,2.16,1.55,5.7,1.59,2.81,1.75,1.95,1.71,2.66
2025-01-14,1.51,2.18,1.53,5.7,1.59,2.82,1.73,1.93,1.73,2.62
2025-01-15,1.53,2.19,1.56,5.8,1.6,2.81,1.75,1.98,1.75,2.66
2025-01-16,1.51,2.16,1.57,5.79,1.6,2.85,1.76,2.0,1.76,2.72
2025-01-17,1.52,2.15,1.57,5.77,1.59,2.88,1.75,1.99,1.72,2.72
2025-01-18,1.5,2.18,1.6,5.79,1.6,2.85,1.78,1.98,1.77,2.73
2025-01-19,1.51,2.19,1.65,5.82,1.63,2.88,1.79,1.99,1.78,2.71
2025-01-20,1.51,2.2,1.65,5.85,1.65,2.91,1.79,1.96,1.74,2.69,7.96
